"ID","Canonical_ID"
"UCD___ANT 030",242
"UCD___ANT 032",243
"UCD___ANT 034",244
"UCD___ANT 036",245
"UCD___ANT 054",246
"UCD___ANT 056",247
"UCD___ANT 100",248
"UCD___ANT 101",249
"UCD___ANT 102",250
"UCD___ANT 103",251
"UCD___ANT 104N",252
"UCD___ANT 107",253
"UCD___ANT 109",254
"UCD___ANT 111",255
"UCD___ANT 117",256
"UCD___ANT 120",257
"UCD___ANT 121",258
"UCD___ANT 122A",259
"UCD___ANT 122B",260
"UCD___ANT 123AN",261
"UCD___ANT 124",262
"UCD___ANT 125B",263
"UCD___ANT 126A",264
"UCD___ANT 126B",265
"UCD___ANT 127",266
"UCD___ANT 128A",267
"UCD___ANT 129",268
"UCD___ANT 130A",269
"UCD___ANT 130BN",270
"UCD___ANT 131",271
"UCD___ANT 132",272
"UCD___ANT 133",273
"UCD___ANT 134",274
"UCD___ANT 135",275
"UCD___ANT 136",276
"UCD___ANT 137",277
"UCD___ANT 138",278
"UCD___ANT 139AN",279
"UCD___ANT 139BN",280
"UCD___ANT 140B",281
"UCD___ANT 141",282
"UCD___ANT 141C",283
"UCD___ANT 142",284
"UCD___ANT 143A",285
"UCD___ANT 144",286
"UCD___ANT 145",287
"UCD___ANT 146N",288
"UCD___ANT 147",289
"UCD___ANT 148A",290
"UCD___ANT 150",291
"UCD___ANT 151",292
"UCD___ANT 152",293
"UCD___ANT 153",294
"UCD___ANT 154A",295
"UCD___ANT 154CL",296
"UCD___ANT 155",297
"UCD___ANT 156A",298
"UCD___ANT 156B",299
"UCD___ANT 157L",300
"UCD___ANT 158",301
"UCD___ANT 159",302
"UCD___ANT 160",303
"UCD___ANT 170",304
"UCD___ANT 172",305
"UCD___ANT 174",306
"UCD___ANT 175",307
"UCD___ANT 176",308
"UCD___ANT 177",309
"UCD___ANT 178",310
"UCD___ANT 179",311
"UCD___ANT 180",312
"UCD___ANT 181",313
"UCD___ANT 181L",314
"UCD___ANT 182",315
"UCD___ANT 183",316
"UCD___ANT 184",317
"UCD___ANT 185",318
"UCD___ANT 187",319
"UCD___ANT 188",320
"UCD___ANT 191",321
"UCD___ABT 060",322
"UCD___ABT 101",323
"UCD___ABT 110",324
"UCD___ABT 150",325
"UCD___ABT 161",326
"UCD___ABT 163",327
"UCD___ABT 165",328
"UCD___ABT 181N",329
"UCD___ABT 182",330
"UCD___ARB 001",331
"UCD___ARB 001A",332
"UCD___ARB 002",333
"UCD___ARB 003",334
"UCD___ARB 021",335
"UCD___ARB 021A",336
"UCD___ARB 021C",337
"UCD___ARB 021L",338
"UCD___ARB 022",339
"UCD___ARB 022C",340
"UCD___ARB 022L",341
"UCD___ARB 023",342
"UCD___ARB 023C",343
"UCD___ARB 023L",344
"UCD___ARB 101A",345
"UCD___ARB 121",346
"UCD___ARB 122",347
"UCD___ARB 123",348
"UCD___ARB 140",349
"UCD___ARB 141",350
"UCD___AHI 001A",351
"UCD___AHI 001B",352
"UCD___AHI 001C",353
"UCD___AHI 001D",354
"UCD___AHI 001E",355
"UCD___AHI 005",356
"UCD___AHI 025",357
"UCD___AHI 100",358
"UCD___AHI 101",359
"UCD___AHI 102",360
"UCD___AHI 110",361
"UCD___AHI 120A",362
"UCD___AHI 121",363
"UCD___AHI 122",364
"UCD___AHI 123",365
"UCD___AHI 130",366
"UCD___AHI 148",367
"UCD___AHI 150",368
"UCD___AHI 151",369
"UCD___AHI 152",370
"UCD___AHI 153",371
"UCD___AHI 154",372
"UCD___AHI 155",373
"UCD___AHI 156",374
"UCD___AHI 157",375
"UCD___AHI 158",376
"UCD___AHI 163A",377
"UCD___AHI 163B",378
"UCD___AHI 163C",379
"UCD___AHI 163D",380
"UCD___AHI 164",381
"UCD___AHI 168",382
"UCD___AHI 172A",383
"UCD___AHI 172B",384
"UCD___AHI 173",385
"UCD___AHI 175",386
"UCD___AHI 176A",387
"UCD___AHI 176B",388
"UCD___AHI 176C",389
"UCD___AHI 177",390
"UCD___AHI 178B",391
"UCD___AHI 178C",392
"UCD___AHI 179B",393
"UCD___AHI 180",394
"UCD___AHI 181",395
"UCD___AHI 182",396
"UCD___AHI 183A",397
"UCD___AHI 183B",398
"UCD___AHI 183C",399
"UCD___AHI 184",400
"UCD___AHI 185",401
"UCD___AHI 186",402
"UCD___AHI 187",403
"UCD___AHI 188A",404
"UCD___AHI 188B",405
"UCD___AHI 188C",406
"UCD___AHI 189",407
"UCD___AHI 190A",408
"UCD___AHI 190B",409
"UCD___AHI 190C",410
"UCD___AHI 190D",411
"UCD___AHI 190E",412
"UCD___AHI 190F",413
"UCD___AHI 190G",414
"UCD___AHI 190H",415
"UCD___AHI 190I",416
"UCD___AHI 190J",417
"UCD___AHI 190K",418
"UCD___AHI 190L",419
"UCD___AHI 194HA",420
